Lat,Lon,TripPurposes,ActivityDuration,ArrivalTime
37.55907,127.005308,Commute,381.0,10
37.561473,126.854408,ReturningHome,612.0,18
37.46319,126.957755,Commute,677.0,6
37.571631,126.976482,OrganizedHobby,25.0,19
37.534502,126.99433700000002,OrganizedHobby,145.0,20
37.556837,126.92375,Entertainment,82.0,15
37.466316,126.889345,ReturningHome,661.0,19
37.570073,126.988955,Commute,302.0,9
37.51066,127.019358,ReturningHome,413.0,14
37.493973,127.01461299999998,OrganizedHobby,334.0,13
37.49409,127.014593,ReturningHome,681.0,19
37.563073,126.931085,Entertainment,287.0,16
37.55601,126.899247,ReturningHome,859.0,22
37.559638,126.854253,Commute,616.0,8
37.581822,126.884058,ReturningHome,658.0,18
37.51578,126.907638,Commute,708.0,8
37.492421,126.824023,ReturningHome,774.0,20
37.575798,126.984133,Commute,867.0,6
37.575025,126.921807,ReturningHome,827.0,21
37.50731,127.057583,Commute,574.0,9
37.525827,126.896643,ReturningHome,722.0,20
37.52421,126.895272,Commute,640.0,8
37.541629,126.840422,ReturningHome,687.0,19
37.511075,127.073861,Commute,454.0,8
37.48245900000001,126.941693,ReturningHome,530.0,16
37.495882,126.941307,Commute,504.0,7
37.49581,126.94127,ReturningHome,499.0,16
37.618432,127.075364,Commute,324.0,9
37.511098,127.021291,ReturningHome,188.0,15
37.499837,127.0265,Entertainment,135.0,18
37.5104,127.021887,ReturningHome,799.0,21
37.56365,126.97553899999998,Commute,613.0,9
37.548738,126.836309,ReturningHome,714.0,19
37.481429,126.997551,Commute,707.0,9
37.534781,126.902618,ReturningHome,828.0,21
37.492995,126.876097,Commute,584.0,7
37.494509,126.859153,ReturningHome,584.0,17
37.575267,126.890647,OrganizedHobby,375.0,14
37.554752,127.071302,ReturningHome,861.0,22
37.49586,127.124389,Commute,597.0,8
37.524489,126.875301,ReturningHome,704.0,19
37.506353,126.968025,OrganizedHobby,57.0,8
37.506353,126.968025,ReturningHome,138.0,10
37.505963,127.004213,Work,61.0,11
37.504306,127.015103,ReturningHome,252.0,12
37.470122,127.038439,Commute,822.0,8
37.486653,127.033097,ReturningHome,845.0,22
37.498153,127.028358,Commute,680.0,7
37.50241,126.856145,ReturningHome,759.0,20
37.540536,126.971327,Work,330.0,8
37.481704,126.882534,Entertainment,62.0,14
37.540536,126.971327,ReturningHome,470.0,15
37.48205,126.94325,Work,464.0,15
37.484867,126.933103,ReturningHome,899.0,22
37.521672,126.924144,Commute,576.0,7
37.549982,126.914496,ReturningHome,580.0,17
37.502888,126.995268,Commute,721.0,8
37.48721,126.98242,ReturningHome,764.0,20
37.556837,126.92375,Commute,520.0,8
37.494509,126.859153,ReturningHome,592.0,17
37.554383,126.971133,Commute,662.0,9
37.499685,126.868012,ReturningHome,816.0,21
37.530303,126.991163,Commute,583.0,8
37.486738,126.994087,ReturningHome,632.0,18
37.56599600000001,126.982161,Commute,789.0,8
37.544235,126.883119,ReturningHome,848.0,22
37.540408,127.069217,Commute,314.0,11
37.512972,127.020607,OrganizedHobby,201.0,18
37.476556,126.981578,ReturningHome,854.0,22
37.521672,126.924144,Commute,602.0,9
37.549982,126.914496,Entertainment,175.0,19
37.539938,126.900755,ReturningHome,874.0,22
37.580019,127.044727,Commute,584.0,7
37.486813,126.982183,ReturningHome,590.0,17
37.48125,126.952685,OrganizedHobby,107.0,9
37.49089,126.901705,ReturningHome,195.0,11
37.558734,126.978434,Commute,767.0,8
37.521717,126.83399,ReturningHome,851.0,22
37.565763,126.96658899999998,Commute,186.0,9
37.499883,126.874702,ReturningHome,244.0,12
37.509157,126.888475,OrganizedHobby,377.0,16
37.503852,126.861938,ReturningHome,919.0,23
37.541038,126.838753,Entertainment,34.0,17
37.524489,126.875301,Entertainment,113.0,18
37.530635,126.848835,ReturningHome,799.0,21
37.478497,126.888622,Commute,614.0,8
37.534588,126.87832,ReturningHome,709.0,19
37.525564,126.8864,Commute,754.0,8
37.561174,126.812409,ReturningHome,821.0,21
37.516433,127.020307,Commute,692.0,9
37.48125,126.952685,ReturningHome,803.0,21
37.52982100000001,126.96454,OrganizedHobby,8.0,19
37.556786,126.946393,ReturningHome,704.0,19
37.56329,126.974965,Commute,756.0,8
37.559655,126.96403,ReturningHome,789.0,21
37.654444,127.060568,OrganizedHobby,327.0,11
37.479277,126.85486000000002,ReturningHome,588.0,17
37.50737,127.034522,Commute,700.0,9
37.513574,126.940891,ReturningHome,831.0,21
37.483987,126.902457,OrganizedHobby,338.0,10
37.457727,126.899097,ReturningHome,470.0,15
37.499917,126.842048,Commute,529.0,8
37.495173,126.858705,Work,69.0,17
37.48064,126.90914,ReturningHome,680.0,19
37.510295,127.032258,Commute,816.0,9
37.604508,126.964762,ReturningHome,896.0,22
37.555154,126.936975,Commute,677.0,11
37.474308,126.91863700000002,ReturningHome,930.0,23
37.484247,126.929731,Commute,536.0,9
37.485608,126.96843,ReturningHome,652.0,18
37.48245900000001,126.941693,Commute,732.0,8
37.486254,126.887409,ReturningHome,806.0,21
37.613251,127.030084,Commute,637.0,8
37.511155,126.95125,ReturningHome,738.0,20
37.56599600000001,126.982161,OrganizedHobby,93.0,11
37.534781,126.902618,ReturningHome,315.0,13
37.57578,126.974052,Commute,496.0,8
37.502844,126.947916,ReturningHome,585.0,17
